,message,created_time,id,permalink_url,likes,tra,translation,translation pre
35,"O PyTorch apresenta duas grandes inovações: o módulo que implementa os tensores, objetos manipulados pela rede neural, foi projetado para permitir seu alocamento em GPUs, o que aumenta a velocidade da rede; e ele permite a geração de grafos dinâmicos, com redes de estrutura flexível, permitindo maior liberdade de arquitetura ao desenvolvedor",2020-02-24T23:23:29+0000,228782997490446_1055420868159984,https://www.facebook.com/228782997490446/posts/1055420868159984/,43,,"PyTorch presents two major innovations: the module that implements the tensors, objects manipulated by the neural network, was designed to allow their allocation on GPUs, which increases the network speed; and it allows the generation of dynamic graphs, with networks of flexible structure, allowing greater architectural freedom to the developer",pytorch presents major innovations module implements tensors objects manipulated neural network designed allow allocation gpus increases network speed allows generation dynamic graphs networks flexible structure allowing greater architectural freedom developer
57,"O spaCy é uma biblioteca de Python que disponibiliza as principais ferramentas para Processamento de Linguagem Natural avançado, permitindo, por exemplo, extrair informações e anotar textos para uso em modelos de deep learning com objetivos mais complexos

Curso sobre o spaCy: https://iaexpert.com.br/index.php/courses/processamento-linguagem-natural-spacy-python/",2020-02-03T20:10:03+0000,228782997490446_1039073396461398,https://www.facebook.com/228782997490446/posts/1039073396461398/,42,,"spaCy is a Python library that provides the main tools for advanced Natural Language Processing, allowing, for example, to extract information and annotate texts for use in deep learning models with more complex objectives.

SpaCy course: https://iaexpert.com.br/index.php/courses/processamento-linguagem-natural-spacy-python/","spacy python library provides main tools advanced natural language processing allowing example extract information annotate texts use deep learning models complex objectives 

 spacy course -linguagem natural spacy python/"
13,IA e coronavírus,2020-03-12T21:01:26+0000,228782997490446_1067301293638608,https://www.facebook.com/228782997490446/posts/1067301293638608/,41,,AI and coronavirus,ai coronavirus
56,Ar condicionado com IA!,2020-02-04T11:16:13+0000,228782997490446_1039466343088770,https://www.facebook.com/228782997490446/posts/1039466343088770/,40,,Air conditioning with AI!,air conditioning ai
68,Regulamentação da IA!,2020-01-25T20:29:44+0000,228782997490446_1031682173867187,https://www.facebook.com/228782997490446/posts/1031682173867187/,39,,AI regulation!,ai regulation
53,Curso presencial de IA em São Paulo,2020-02-06T20:57:31+0000,228782997490446_1040629732972431,https://www.facebook.com/228782997490446/posts/1040629732972431/,38,,Face-to-face AI course in São Paulo,face face ai course são paulo
54,"Apesar de terem sido desenvolvidas para classificar imagens, as redes neurais convolucionais também podem ser aplicadas a textos, capturando padrões regionais dentro de suas dimensões semânticas que depois podem ser usados para treinar um algoritmo de classificação",2020-02-05T18:09:40+0000,228782997490446_1040553662980038,https://www.facebook.com/228782997490446/posts/1040553662980038/,37,,"Although they were developed to classify images, convolutional neural networks can also be applied to texts, capturing regional patterns within their semantic dimensions that can then be used to train a classification algorithm.",developed classify images convolutional neural networks applied texts capturing regional patterns semantic dimensions train classification algorithm
91,Algumas previsões de indústrias que serão impactadas pela IA em 2020!,2020-01-04T21:17:45+0000,228782997490446_1006475136387891,https://www.facebook.com/228782997490446/posts/1006475136387891/,37,,Some predictions of industries that will be impacted by AI in 2020!,predictions industries impacted ai
39,Medicamento desenvolvido por IA entra pela primeira vez na fase 1 de testes clínicos,2020-02-17T20:46:44+0000,228782997490446_1050011998700871,https://www.facebook.com/228782997490446/posts/1050011998700871/,36,,AI-developed drug enters phase 1 clinical trials for the first time,ai developed drug enters phase clinical trials time
84,"""A Estratégia Brasileira para a Transformação Digital, o E-Digital, aprovada em março de 2018, sinaliza para a importância de tratar a inteligência artificial de maneira prioritária em razão de seus impactos na vida do País e das pessoas""",2020-01-11T20:51:19+0000,228782997490446_1019865341715537,https://www.facebook.com/228782997490446/posts/1019865341715537/,36,,"""The Brazilian Strategy for Digital Transformation, the E-Digital, approved in March 2018, signals the importance of treating artificial intelligence as a priority due to its impacts on the life of the country and people""",brazilian strategy digital transformation e digital approved march signals importance treating artificial intelligence priority impacts life country people
25,"Neste artigo você terá uma breve introdução à Computação Afetiva, que é uma área que utiliza conceitos da Computação e da Psicologia!",2020-03-03T17:46:12+0000,228782997490446_1061220197580051,https://www.facebook.com/228782997490446/posts/1061220197580051/,36,,"In this article you will have a brief introduction to Affective Computing, which is an area that uses concepts from Computing and Psychology!",article brief introduction affective computing area uses concepts computing psychology
44,"Você sabe qual área de Deep Learning deverá ter o maior crescimento em 2020? Você consegue adivinhar qual mercado de IA deverá atingir U$ 22,3 bilhões até 2025? E você pode citar o campo da ciência de dados em que especialistas como Yann LeCunn, Yoshua Bengio e Geoff Hinton estão apostando atualmente?

Se você respondeu Processamento de Linguagem Natural para todas essas três perguntas, está no caminho certo! Espera-se que essa área deva assumir o centro das atenções em 2020, e se você não estiver preparado pode ficar para trás!

Neste curso você vai aprender as técnicas mais recentes e poderosas de Processamento de Linguagem Natural:

- Crie um tradutor de idiomas de inglês para português utilizando a arquitetura Transformer do Google
- Crie uma Rede Neural Convolucional especializada em Processamento de Linguagem Natural para classificação de sentimentos em uma base de dados do Tweeter
- Personalize os métodos de treinamento de redes neurais no TensorFlow 2.0
- Use o Google Colab e o Tensorflow 2.0 para suas implementações de Inteligência Artificial
- Entenda como os algoritmos de inteligência artificial fazem com que os computadores dêem sentido à linguagem humana",2020-02-13T18:13:23+0000,228782997490446_1046788995689838,https://www.facebook.com/228782997490446/posts/1046788995689838/,35,,"Do you know which area of ​​Deep Learning is expected to see the biggest growth in 2020? Can you guess which AI market is expected to reach $22.3 billion by 2025? And can you name the field of data science that experts like Yann LeCunn, Yoshua Bengio and Geoff Hinton are currently betting on?

If you answered Natural Language Processing to all three of these questions, you're on the right track! This area is expected to take the spotlight in 2020, and if you're not prepared, you might be left behind!

In this course you will learn the latest and most powerful Natural Language Processing techniques:

- Create an English to Portuguese language translator using Google's Transformer architecture
- Create a Convolutional Neural Network specialized in Natural Language Processing to classify feelings in a Tweeter database
- Customize neural network training methods in TensorFlow 2.0
- Use Google Colab and Tensorflow 2.0 for your Artificial Intelligence implementations
- Understand how artificial intelligence algorithms make computers make sense of human language","know area ​​deep learning expected biggest growth guess ai market expected reach 22.3 billion field data science experts like yann lecunn yoshua bengio geoff hinton currently betting 

 answered natural language processing questions right track area expected spotlight prepared left 

 course learn latest powerful natural language processing techniques 

 create english portuguese language translator google transformer architecture 
 create convolutional neural network specialized natural language processing classify feelings tweeter database 
 customize neural network training methods tensorflow 2.0 
 use google colab tensorflow 2.0 artificial intelligence implementations 
 understand artificial intelligence algorithms computers sense human language"
90,Matéria interessante sobre como a IA pode reproduzir maus comportamentos humanos!,2020-01-05T14:19:05+0000,228782997490446_1006476279721110,https://www.facebook.com/228782997490446/posts/1006476279721110/,35,,Interesting article on how AI can reproduce human misbehavior!,interesting article ai reproduce human misbehavior
41,IA e depressão!,2020-02-15T22:29:47+0000,228782997490446_1047839125584825,https://www.facebook.com/228782997490446/posts/1047839125584825/,34,,AI and depression!,ai depression
20,O Papa Francisco quer estabelecer parâmetros éticos no desenvolvimento da inteligência artificial (IA) e espera contar com o apoio das empresas de tecnologia para isso,2020-03-08T22:42:23+0000,228782997490446_1063300734038664,https://www.facebook.com/228782997490446/posts/1063300734038664/,34,,Pope Francis wants to establish ethical parameters in the development of artificial intelligence (AI) and hopes to count on the support of technology companies for this.,pope francis wants establish ethical parameters development artificial intelligence ai hopes count support technology companies
27,Amazon testando novo sistema de IA,2020-03-01T22:28:25+0000,228782997490446_1058182317883839,https://www.facebook.com/228782997490446/posts/1058182317883839/,34,,Amazon testing new AI system,amazon testing new ai system
28,Nova tendência: IA para pequenas empresas!,2020-02-29T16:27:46+0000,228782997490446_1058181737883897,https://www.facebook.com/228782997490446/posts/1058181737883897/,34,,New trend: AI for small businesses!,new trend ai small businesses
89,"O trabalho usou a técnica de transfer learning, tendo como base a GoogLeNet, uma rede neural convolucional treinada para classificar imagens naturais, e recebendo treinamento adicional com cerca de 2000 imagens de microscopia, para assim aprender a detectar lesões cancerígenas, alcançado AUROC de 0,98",2020-01-06T13:43:04+0000,228782997490446_1015959395439465,https://www.facebook.com/228782997490446/posts/1015959395439465/,33,,"The work used the transfer learning technique, based on GoogLeNet, a convolutional neural network trained to classify natural images, and receiving additional training with about 2000 microscopy images, in order to learn to detect cancerous lesions, reaching AUROC of 0, 98",work transfer learning technique based googlenet convolutional neural network trained classify natural images receiving additional training microscopy images order learn detect cancerous lesions reaching auroc
45,"O autor da façanha usou dois algoritmos disponíveis publicamente. O primeiro é responsável por aumentar a resolução, incluindo pixels inexistentes; o segundo insere quadros inteiros, aumentando a frequência do vídeo",2020-02-12T10:48:14+0000,228782997490446_1045745962460808,https://www.facebook.com/228782997490446/posts/1045745962460808/,33,,"The stunt author used two publicly available algorithms. The first is responsible for increasing the resolution, including non-existent pixels; the second inserts entire frames, increasing the video frequency",stunt author publicly available algorithms responsible increasing resolution including non existent pixels second inserts entire frames increasing video frequency
79,"O sistema usa reconhecimento facial para determinar se o motorista está sonolento ou distraído, e dependendo da situação, aciona um plano de prevenção de acidentes adequado. Ele também identifica passageiros para que usem as medidas de segurança apropriadas, e para que o motorista não esqueça crianças no banco traseiro, por exemplo",2020-01-15T14:09:03+0000,228782997490446_1024505331251538,https://www.facebook.com/228782997490446/posts/1024505331251538/,32,,"The system uses facial recognition to determine if the driver is drowsy or distracted, and depending on the situation, triggers an appropriate accident prevention plan. It also identifies passengers so that they use appropriate safety measures, and so that the driver does not leave children in the back seat, for example.",system uses facial recognition determine driver drowsy distracted depending situation triggers appropriate accident prevention plan identifies passengers use appropriate safety measures driver leave children seat example
77,"O projeto pretende usar as estruturas mais recentes de inteligência artificial para processamento de linguagem natural para desvendar a linguagem de elefantes, e assim estabelecer como esses animais se comunicam entre si, e até permitir que possamos “conversar” com eles",2020-01-17T11:21:32+0000,228782997490446_1026181117750626,https://www.facebook.com/228782997490446/posts/1026181117750626/,32,,"The project intends to use the latest artificial intelligence frameworks for natural language processing to unravel the language of elephants, and thus establish how these animals communicate with each other, and even allow us to “talk” to them.",project intends use latest artificial intelligence frameworks natural language processing unravel language elephants establish animals communicate allow “ talk ”
80,"Redes neurais que podem aprender padrões de qualquer tipo de superfície geométrica? 🧐
Além de matrizes 2D, as novas redes neurais podem detectar também esferas e objetos curvados assimetricamente. 
Para projetar redes neurais que pudessem aprender padrões em dados não planos, os pesquisadores precisaram reinventar um dos procedimentos computacionais básicos das redes neurais: a “convolução”.",2020-01-15T13:00:02+0000,228782997490446_1024004691301602,https://www.facebook.com/228782997490446/posts/1024004691301602/,32,,"Neural networks that can learn patterns from any kind of geometric surface? 🧐
In addition to 2D matrices, the new neural networks can also detect spheres and asymmetrically curved objects.
To design neural networks that could learn patterns in non-planar data, researchers needed to reinvent one of the basic computational procedures of neural networks: “convolution”.","neural networks learn patterns kind geometric surface 🧐 
 addition 2d matrices new neural networks detect spheres asymmetrically curved objects 
 design neural networks learn patterns non planar data researchers needed reinvent basic computational procedures neural networks “ convolution ”"
52,"Um trabalho buscou na literatura já existente uma molécula capaz de impedir a entrada do novo vírus nas células humanas. O outro apresentou seis novas moléculas com potencial para impedir o processo de replicação do vírus dentro das células, e assim interromper a infecção",2020-02-07T14:47:31+0000,228782997490446_1041940676174670,https://www.facebook.com/228782997490446/posts/1041940676174670/,31,,"One study searched the existing literature for a molecule capable of preventing the entry of the new virus into human cells. The other presented six new molecules with the potential to stop the virus replication process inside cells, and thus stop the infection.",study searched existing literature molecule capable preventing entry new virus human cells presented new molecules potential stop virus replication process inside cells stop infection
21,"O Facebook derrubou mais de seis bilhões de contas em 2019 com a ajuda de inteligência artificial, resolvendo o que era um grande desafio para a rede social até então. O sistema de machine learning usado pela empresa, além de eliminar perfis falsos, bloqueia milhões de contas que tentam ser criadas diariamente",2020-03-07T20:41:37+0000,228782997490446_1063299887372082,https://www.facebook.com/228782997490446/posts/1063299887372082/,31,,"Facebook took down more than six billion accounts in 2019 with the help of artificial intelligence, solving what was a big challenge for the social network until then. The machine learning system used by the company, in addition to eliminating fake profiles, blocks millions of accounts that try to be created daily.",facebook took billion accounts help artificial intelligence solving big challenge social network machine learning system company addition eliminating fake profiles blocks millions accounts try created daily
66,"O exame de imageamento por ressonância magnética exige que o paciente fique imobilizado e confinado dentro da máquina por um tempo da casa de dezenas de minutos, para obter imagens de qualidade. A técnica desenvolvida nesse trabalho diminui esse tempo fazendo um pós-processamento para aumentar a qualidade das imagens usando inteligência artificial",2020-01-27T19:53:01+0000,228782997490446_1033971053638299,https://www.facebook.com/228782997490446/posts/1033971053638299/,30,,"The magnetic resonance imaging exam requires the patient to be immobilized and confined inside the machine for a time of about tens of minutes, in order to obtain quality images. The technique developed in this work reduces this time by doing a post-processing to increase the quality of the images using artificial intelligence.",magnetic resonance imaging exam requires patient immobilized confined inside machine time tens minutes order obtain quality images technique developed work reduces time post processing increase quality images artificial intelligence
87,"Os Neons serão seres virtuais que têm visual e comportamento realista, capazes de formar memórias, aprender com sua experiência e demonstrar emoções e inteligência, e foram desenvolvidos para serem uma interface mais amigável às interações entre humanos e a inteligência artificial",2020-01-08T13:57:10+0000,228782997490446_1017803148588423,https://www.facebook.com/228782997490446/posts/1017803148588423/,30,,"Neons will be virtual beings that have a realistic look and behavior, capable of forming memories, learning from their experience and showing emotions and intelligence, and were developed to be a friendlier interface for interactions between humans and artificial intelligence.",neons virtual beings realistic look behavior capable forming memories learning experience showing emotions intelligence developed friendlier interface interactions humans artificial intelligence
61,"Pra quem é do Rio de Janeiro, em fevereiro terá um evento gratuito sobre Big Data",2020-01-30T23:32:20+0000,228782997490446_1034826656886072,https://www.facebook.com/228782997490446/posts/1034826656886072/,29,,"For those from Rio de Janeiro, in February there will be a free event on Big Data",rio de janeiro february free event big data
70,Importante matéria sobre mercado de trabalho e IA!,2020-01-23T22:03:00+0000,228782997490446_1030281410673930,https://www.facebook.com/228782997490446/posts/1030281410673930/,29,,Important article about the job market and AI!,important article job market ai
85,"Usando visão computacional, os refrigeradores identificam os alimentos presentes no interior, podendo gerar listas de compras e receitas com base nos ingredientes disponíveis e nas preferências do consumidor 😮",2020-01-10T17:32:56+0000,228782997490446_1019859551716116,https://www.facebook.com/228782997490446/posts/1019859551716116/,29,,"Using computer vision, refrigerators identify the food inside, being able to generate shopping lists and recipes based on available ingredients and consumer preferences 😮",computer vision refrigerators identify food inside able generate shopping lists recipes based available ingredients consumer preferences 😮
26,"O algoritmo desenvolvido se tornou capaz de prever o tempo de vida da bateria com apenas poucos ciclos de recarga, diminuindo o tempo de testes de até 2 anos para apenas 16 dias, o que permite testar novas tecnologias de engenharia e protocolos de recarga de forma muito mais eficiente",2020-03-02T11:31:10+0000,228782997490446_1060228207679250,https://www.facebook.com/228782997490446/posts/1060228207679250/,29,,"The algorithm developed was able to predict battery life with just a few recharge cycles, reducing testing time from up to 2 years to just 16 days, which allows testing new engineering technologies and charging protocols very quickly. more efficient",algorithm developed able predict battery life recharge cycles reducing testing time years days allows testing new engineering technologies charging protocols quickly efficient
36,"Os pesquisadores usaram dados de expressão genética para treinar um autoencoder de forma não-supervisionada, e descobriram que as camadas escondidas dessa rede revelava padrões de interação entre os agentes metabólicos, começando pelas mais elementais (proteína-proteína) até as mais complexas (genes associados a doenças)",2020-02-21T12:33:48+0000,228782997490446_1052703345098403,https://www.facebook.com/228782997490446/posts/1052703345098403/,29,,"The researchers used gene expression data to train an autoencoder in an unsupervised way, and found that the hidden layers of this network revealed patterns of interaction between metabolic agents, starting with the most elemental (protein-protein) to the most complex (associated genes). to diseases)",researchers gene expression data train autoencoder unsupervised way found hidden layers network revealed patterns interaction metabolic agents starting elemental protein protein complex associated genes diseases
58,8 mitos sobre IA!,2020-02-02T20:42:20+0000,228782997490446_1036627163372688,https://www.facebook.com/228782997490446/posts/1036627163372688/,29,,8 Myths About AI!,myths ai
93,Aplicação de IA no atendimento ao cliente!,2020-01-01T18:24:15+0000,228782997490446_1006479993054072,https://www.facebook.com/228782997490446/posts/1006479993054072/,28,,Application of AI in customer service!,application ai customer service
75,Chopp com IA!,2020-01-19T23:47:29+0000,228782997490446_1025891684446236,https://www.facebook.com/228782997490446/posts/1025891684446236/,28,,Beer with AI!,beer ai
92,Matéria interessante sobre os limites da IA!,2020-01-02T18:16:23+0000,228782997490446_1006473956388009,https://www.facebook.com/228782997490446/posts/1006473956388009/,28,,Interesting article about the limits of AI!,interesting article limits ai
34,Equipe do Instituto de Tecnologia de Massachusetts testou a solução em mais de seis mil compostos para identificar novos medicamentos em potencial,2020-02-25T13:58:25+0000,228782997490446_1055862838115787,https://www.facebook.com/228782997490446/posts/1055862838115787/,27,,"A team at the Massachusetts Institute of Technology tested the solution on more than 6,000 compounds to identify potential new drugs.","team massachusetts institute technology tested solution 6,000 compounds identify potential new drugs"
71,"Lançamento! Você quer aprender a construir interfaces gráficas de forma rápida e fácil utilizando o Python ou o C? Lançamos dois novos cursos que mostram passo a passo como construir interfaces gráficas para seus programas escritos em Python e em C, utilizando o GTK e o Glade!

Cada curso está por R$ 19,99 até a próxima terça-feira (28/01/2020), o menor valor da plataforma. Escolha abaixo o seu curso:

Interface Gráfica para Apps Python com GTK e Glade: https://www.udemy.com/course/interface-grafica-para-apps-python-com-gtk-e-glade/?couponCode=IAINTERFACE

Curso em C: https://www.udemy.com/course/interface-grafica-para-apps-feitas-em-c-com-gtk-e-glade/?couponCode=IAINTERFACE",2020-01-23T14:33:18+0000,228782997490446_1030727753962629,https://www.facebook.com/228782997490446/posts/1030727753962629/,26,,"Launch! Do you want to learn how to build graphical interfaces quickly and easily using Python or C? We have launched two new courses that show you step by step how to build graphical interfaces for your programs written in Python and C, using GTK and Glade!

Each course is for R$ 19.99 until next Tuesday (28/01/2020), the lowest value on the platform. Choose your course below:

Graphical Interface for Python Apps with GTK and Glade: https://www.udemy.com/course/interface-grafica-para-apps-python-com-gtk-e-glade/?couponCode=IAINTERFACE

Course in C: https://www.udemy.com/course/interface-grafica-para-apps-feitas-em-c-com-gtk-e-glade/?couponCode=IAINTERFACE","launch want learn build graphical interfaces quickly easily python c launched new courses step step build graphical interfaces programs written python c gtk glade 

 course r$ 19.99 tuesday 28/01/2020 lowest value platform choose course 

 graphical interface python apps gtk glade -grafica para apps python com gtk e glade/?couponcode iainterface 

 course c -grafica para apps feitas em c com gtk e glade/?couponcode iainterface"
43,IA está no topo do ranking sobre as ferramentas tecnológicas para 2020!,2020-02-13T23:40:05+0000,228782997490446_1046833895685348,https://www.facebook.com/228782997490446/posts/1046833895685348/,26,,AI is at the top of the rankings on tech tools for 2020!,ai rankings tech tools
46,IA para edição de vídeos!,2020-02-11T15:11:05+0000,228782997490446_1044910669211004,https://www.facebook.com/228782997490446/posts/1044910669211004/,25,,AI for video editing!,ai video editing
24,"O modelo foi treinado para aprender a representar moléculas como vetores contendo os grupos químicos relevantes para a atividade antibacteriana; depois ele foi capaz de descobrir novos antibióticos potenciais a partir de um banco de moléculas. A halicina, molécula descoberta pelo método, teve sua ação potente confirmada por testes biológicos",2020-03-04T22:15:33+0000,228782997490446_1062097744158963,https://www.facebook.com/228782997490446/posts/1062097744158963/,25,,"The model was trained to learn to represent molecules as vectors containing the chemical groups relevant to antibacterial activity; later he was able to discover potential new antibiotics from a bank of molecules. Halicin, a molecule discovered by the method, had its potent action confirmed by biological tests",model trained learn represent molecules vectors containing chemical groups relevant antibacterial activity later able discover potential new antibiotics bank molecules halicin molecule discovered method potent action confirmed biological tests
33,"Conheça o mecanismo de atenção, que é a base do transformer, a arquitetura de rede mais recente para PLN, e que permite que uma rede focalize em trechos específicos de uma sequência de dados para produzir resultados mais precisos",2020-02-26T15:33:04+0000,228782997490446_1056665188035552,https://www.facebook.com/228782997490446/posts/1056665188035552/,24,,"Learn about the attention engine, which is the foundation of the transformer, the latest network architecture for NLP, which allows a network to focus on specific parts of a data sequence to produce more accurate results",learn attention engine foundation transformer latest network architecture nlp allows network focus specific parts data sequence produce accurate results
60,"😮😮 Como não existe um “bafômetro” para maconha, o produto Predict MEDiX usa reconhecimento facial e de voz para identificar os padrões característicos de alteração que ocorrem em pessoas incapacitadas pelo uso de substâncias que alteram as funções cognitivas, e assim permite determinar se um motorista, por exemplo, está incapacitado para dirigir",2020-01-31T11:33:08+0000,228782997490446_1036628080039263,https://www.facebook.com/228782997490446/posts/1036628080039263/,23,,"😮😮 As there is no “breathometer” for marijuana, the Predict MEDIX product uses facial and voice recognition to identify the characteristic patterns of alteration that occur in people disabled by the use of substances that alter cognitive functions, and thus allows to determine if a driver, for example, is unable to drive",😮 😮 “ breathometer ” marijuana predict medix product uses facial voice recognition identify characteristic patterns alteration occur people disabled use substances alter cognitive functions allows determine driver example unable drive
